Site Name,Source,IGBP Class,AET/PET,Date Start,Date End,Lat,Lon,No. of Years,r_a0_fapar
BE-Bra,WarmWinter,MF,0.807,01/01/1996,31/12/2022,51.30761,4.51984,27,0.728262549765728
BE-Dor,WarmWinter,GRA,0.848,01/01/2011,31/12/2020,50.311876,4.968113,10,0.818085815106451
BE-Lcr,WarmWinter,DBF,0.332,01/01/2019,31/12/2022,51.11218,3.85043,4,0.679068271682826
BE-Maa,WarmWinter,CSH,0.725,01/01/2016,31/12/2022,50.979868,5.631851,7,0.716671565194524
BE-Vie,WarmWinter,MF,0.916,01/01/1996,31/12/2022,50.304962,5.998099,27,0.711097902349974
CH-Aws,WarmWinter,GRA,0.924,01/01/2006,31/12/2020,46.583194,9.790417,15,0.63941448071464
CH-Cha,WarmWinter,GRA,0.888,01/01/2005,31/12/2020,47.21022222,8.410444444,16,0.675758357309116
CH-Dav,WarmWinter,ENF,0.861,01/01/1997,31/12/2022,46.81533,9.85591,26,0.809237567213917
CH-Fru,WarmWinter,GRA,0.906,01/01/2005,31/12/2020,47.11583333,8.537777778,16,0.76719528471735
CH-Lae,WarmWinter,MF,0.834,01/01/2004,31/12/2020,47.478333,8.364389,17,0.824910622210129
CZ-BK1,WarmWinter,ENF,0.93,01/01/2004,31/12/2022,49.50207615,18.53688247,19,0.750160837012208
CZ-Lnz,WarmWinter,MF,0.552,01/01/2015,31/12/2022,48.6815483,16.9463317,8,0.804982951079075
CZ-RAJ,WarmWinter,ENF,0.725,01/01/2012,31/12/2020,49.4437236,16.6965125,9,0.780974052891337
CZ-Stn,WarmWinter,DBF,0.739,01/01/2010,31/12/2020,49.035975,17.9699,11,0.807300619038246
CZ-wet,WarmWinter,WET,0.77,01/01/2006,31/12/2022,49.02465,14.77035,17,0.801359807849223
DE-Akm,WarmWinter,WET,0.743,01/01/2009,31/12/2020,53.86617,13.68342,12,0.82908679005672
DE-Gri,WarmWinter,GRA,0.869,01/01/2004,31/12/2022,50.95004,13.51259,19,0.792479149392982
DE-Hai,WarmWinter,DBF,0.877,01/01/2000,31/12/2022,51.0794084,10.4520894,23,0.767791859814401
DE-HoH,WarmWinter,DBF,0.594,01/01/2015,31/12/2022,52.08656,11.22235,8,0.707681622553045
DE-Hzd,WarmWinter,DBF,0.78,01/01/2010,31/12/2020,50.96381,13.48978,11,0.789804642121756
DE-Obe,WarmWinter,ENF,0.84,01/01/2008,31/12/2020,50.78666,13.72129,13,0.789945126555034
DE-RuR,WarmWinter,GRA,0.899,01/01/2011,31/12/2022,50.6219142,6.3041256,12,0.77669386301346
DE-RuW,WarmWinter,ENF,0.916,01/01/2012,31/12/2022,50.50492685,6.330962475,11,0.809746626491187
DE-Tha,WarmWinter,ENF,0.816,01/01/1996,31/12/2022,50.96256,13.56515,27,0.821735254449028
DK-Gds,WarmWinter,ENF,0.968,01/01/2020,31/12/2022,56.0737,9.3341,3,0.755547376151379
DK-Sor,WarmWinter,DBF,0.864,01/01/1996,31/12/2022,55.4858694,11.6446444,27,0.740149865993122
ES-Abr,WarmWinter,SAV,0.396,01/01/2015,31/12/2020,38.701839,-6.785881,6,0.677058478788745
ES-Agu,WarmWinter,OSH,0.375,01/01/2006,31/12/2020,36.940046,-2.033208,15,0.418173411901325
ES-LJu,WarmWinter,OSH,0.497,01/01/2004,31/12/2020,36.926594,-2.752115,17,0.694557602343179
ES-LM1,WarmWinter,SAV,0.491,01/01/2014,31/12/2020,39.94269,-5.778683,7,0.334615510454278
ES-LM2,WarmWinter,SAV,0.484,01/01/2014,31/12/2020,39.934592,-5.775881,7,0.356856593405418
FI-Hyy,WarmWinter,ENF,0.869,01/01/1996,31/12/2022,61.84741,24.29477,27,0.79597168492695
FI-Ken,WarmWinter,ENF,0.624,01/01/2018,31/12/2022,67.98721472,24.24301028,5,0.753610728107731
FI-Let,WarmWinter,ENF,0.887,01/01/2009,31/12/2022,60.64183,23.95952,14,0.794784529261306
FI-Sii,WarmWinter,WET,0.701,01/01/2016,31/12/2022,61.83265,24.19285,7,0.749000424125953
FI-Var,WarmWinter,ENF,0.984,01/01/2016,31/12/2022,67.7549,29.61,7,0.722883309903015
FR-Bil,WarmWinter,ENF,0.71,01/01/2014,31/12/2022,44.493653,-0.956092,9,0.766125282381214
FR-FBn,WarmWinter,MF,0.52,01/01/2008,31/12/2020,43.24079,5.67865,13,0.422278531751829
FR-Fon,WarmWinter,DBF,0.8,01/01/2005,31/12/2022,48.476358,2.780096,18,0.784567870141437
FR-Hes,WarmWinter,DBF,0.797,01/01/2014,31/12/2022,48.6741,7.06465,9,0.825939653277317
FR-LGt,WarmWinter,WET,0.507,01/01/2017,31/12/2022,47.322917,2.284102,6,0.783855401206963
